x	y	z	peak
11	40	30	0.47864720225334167
12	65	43	0.8137364387512207
15	43	28	0.84398472309112549
15	61	58	2.1966738700866699
16	61	17	0.82425576448440552
17	54	38	0.44862505793571472
18	73	50	4.2189130783081055
19	46	62	2.9842190742492676
19	67	55	6.8957424163818359
19	86	37	2.0264506340026855
20	32	31	9.0950641632080078
20	48	38	0.71933162212371826
20	65	52	7.2290124893188477
20	80	46	5.1735243797302246
21	58	30	0.43024167418479919
21	72	33	4.7198371887207031
21	88	32	1.2999356985092163
22	27	29	8.3051300048828125
22	36	31	8.6129941940307617
22	52	37	0.56904494762420654
22	54	36	0.57093769311904907
22	58	33	0.92150390148162842
22	61	17	0.28585204482078552
22	67	50	7.706146240234375
22	84	29	0.37062925100326538
23	50	26	1.2577096223831177
23	65	26	1.189024806022644
23	71	26	1.1626588106155396
24	36	25	5.7918839454650879
24	63	39	0.77337336540222168
25	44	56	5.5958390235900879
25	86	53	2.9029035568237305
25	89	49	2.7919259071350098
26	20	34	8.9317083358764648
26	44	18	3.3284268379211426
26	46	23	2.9722003936767578
26	60	24	0.945809006690979
26	62	67	7.9634137153625488
27	23	46	5.3779001235961914
27	28	26	7.071596622467041
27	39	19	3.9489598274230957
27	39	59	7.2472786903381348
27	62	29	0.96466344594955444
27	73	19	1.3252304792404175
27	87	43	2.5692658424377441
27	93	44	1.4093303680419922
28	19	48	5.2909297943115234
28	20	39	9.0222797393798828
28	23	55	4.5589752197265625
28	35	65	6.7389469146728516
28	41	25	6.3512773513793945
28	43	36	0.85114216804504395
28	63	20	2.0318078994750977
28	76	36	9.6886301040649414
29	31	58	6.5816311836242676
29	60	17	2.0878071784973145
29	60	61	5.8563308715820312
29	93	48	2.3066298961639404
30	19	32	7.8199892044067383
30	48	19	2.8548157215118408
30	71	22	2.2373056411743164
30	85	54	2.9864306449890137
31	32	21	4.233604907989502
31	68	68	2.20841383934021
31	83	26	3.7699217796325684
31	96	32	0.75474107265472412
32	44	45	3.1806955337524414
32	59	39	2.1992092132568359
32	69	26	2.293926477432251
32	78	28	2.3428301811218262
32	81	25	4.7439103126525879
33	47	16	3.5211617946624756
33	47	42	2.5703263282775879
33	57	36	2.1141350269317627
33	63	19	1.6838752031326294
33	64	39	2.386075496673584
34	29	63	8.9750537872314453
34	42	49	0.70644378662109375
34	43	34	0.29663252830505371
34	47	64	0.79606324434280396
34	48	59	0.38069796562194824
34	50	22	3.3527092933654785
34	50	34	3.7187137603759766
34	55	53	0.53938490152359009
34	68	35	3.7859127521514893
34	87	30	1.3117904663085938
35	34	38	3.0716736316680908
35	47	72	0.71423304080963135
35	48	48	2.3015553951263428
35	52	18	6.2459349632263184
35	58	56	0.35525134205818176
35	64	46	2.0783607959747314
36	44	15	1.9787192344665527
36	52	64	0.3319886326789856
36	52	74	0.88065403699874878
36	64	23	3.3574557304382324
36	75	36	2.8795630931854248
36	79	41	1.0088818073272705
36	84	43	0.88652938604354858
37	33	26	2.4337158203125
37	42	42	0.49157813191413879
37	57	19	2.8056771755218506
37	57	70	0.95689451694488525
37	76	29	0.66460812091827393
37	96	29	0.44947898387908936
38	30	41	3.4932718276977539
38	43	58	1.1771700382232666
38	67	71	2.6743943691253662
39	46	21	1.8058825731277466
39	49	29	4.4659829139709473
39	78	25	0.66324734687805176
39	87	25	0.2887018620967865
40	33	27	2.4785358905792236
40	54	30	2.8798286914825439
40	55	41	4.0926899909973145
40	57	33	2.5326933860778809
40	63	44	5.1402292251586914
40	68	72	2.7494621276855469
40	72	55	4.4715814590454102
40	74	52	4.0792832374572754
41	65	38	4.7331795692443848
41	70	41	3.3623754978179932
42	27	24	5.2944645881652832
42	35	66	0.97369927167892456
42	38	29	2.1299169063568115
42	38	73	0.77529484033584595
42	47	35	6.6497416496276855
42	93	25	1.2868839502334595
43	25	17	5.6273484230041504
43	32	69	2.3139462471008301
43	64	51	3.2378950119018555
44	43	20	5.8674530982971191
44	48	49	3.797774076461792
44	55	27	2.7759201526641846
44	56	29	3.122732400894165
44	62	30	3.4700558185577393
44	69	28	2.4349129199981689
44	86	60	0.3290858268737793
45	33	32	2.0584361553192139
45	36	30	2.27048659324646
45	38	17	8.773345947265625
45	38	36	1.9767847061157227
45	39	72	0.67980426549911499
45	40	38	1.6222734451293945
45	42	37	1.5973495244979858
45	44	16	5.8945245742797852
45	53	42	4.2578215599060059
45	55	73	0.34404340386390686
45	57	25	4.8350276947021484
45	66	41	0.75241810083389282
45	66	52	3.4983282089233398
45	70	40	1.9822763204574585
45	70	59	8.6118669509887695
45	73	48	1.007713794708252
45	76	55	5.7984180450439453
45	93	54	0.50750690698623657
46	42	31	3.3119022846221924
46	49	36	7.1761107444763184
46	60	18	2.4600493907928467
46	63	66	9.4288520812988281
47	25	17	6.3060817718505859
47	42	22	3.1635293960571289
47	60	51	0.99574953317642212
47	79	48	1.8210161924362183
47	86	58	0.25428512692451477
48	32	70	3.4705781936645508
48	50	50	2.9766807556152344
48	54	17	2.2223634719848633
48	62	27	1.5744881629943848
48	64	22	0.71660506725311279
48	64	38	8.3816242218017578
49	27	23	4.4911842346191406
49	62	43	6.2016935348510742
50	29	66	5.1083865165710449
50	53	31	2.7736015319824219
50	55	41	5.6995882987976074
50	58	25	3.7969765663146973
51	17	33	4.0560727119445801
51	24	40	2.5705714225769043
51	38	26	1.3824614286422729
51	48	28	4.1873922348022461
51	49	16	1.8101052045822144
51	66	28	2.517242431640625
52	33	25	1.2173664569854736
52	40	17	3.2627849578857422
52	42	15	3.0682315826416016
52	49	62	0.66936343908309937
52	58	46	4.9705667495727539
52	59	31	2.3335740566253662
52	63	24	2.2240350246429443
52	83	64	0.46808344125747681
52	95	32	0.36832502484321594
53	35	23	1.3228994607925415
53	41	25	1.1760576963424683
54	38	69	1.0207573175430298
54	64	31	3.1169469356536865
54	83	42	0.78867912292480469
54	96	48	1.0624061822891235
55	27	16	1.5664603710174561
55	29	39	3.1079962253570557
55	45	15	3.3785357475280762
55	46	48	2.9686698913574219
55	49	74	1.3170608282089233
55	52	19	4.0943593978881836
55	83	31	1.1165390014648438
56	27	62	7.3456029891967773
56	43	21	2.1036710739135742
56	48	41	2.7797281742095947
56	50	34	4.2829723358154297
56	51	64	1.0350667238235474
56	64	40	5.2776670455932617
56	86	27	0.3407420814037323
56	92	53	0.32172074913978577
57	34	36	1.9974098205566406
57	46	69	1.069438099861145
57	47	15	4.0444560050964355
57	64	31	3.0345163345336914
57	80	25	2.5125646591186523
58	17	33	8.1759271621704102
58	24	31	2.9073598384857178
58	26	50	5.9187383651733398
58	30	60	7.064661979675293
58	46	64	0.51708990335464478
58	54	53	0.4447094202041626
58	61	62	5.2877750396728516
58	69	22	2.5562758445739746
58	77	28	2.3813939094543457
58	85	59	0.31920501589775085
59	19	27	5.1428737640380859
59	19	42	7.0435528755187988
59	33	29	2.7485578060150146
59	56	42	1.0011636018753052
59	59	70	8.0977792739868164
59	85	39	1.5887616872787476
59	89	54	1.6115607023239136
60	32	21	3.00282883644104
60	38	58	6.2202835083007812
60	41	38	0.4858965277671814
60	52	36	2.2805702686309814
61	38	38	0.54270923137664795
61	61	20	1.8211711645126343
61	64	17	1.9049283266067505
61	74	36	6.6704568862915039
62	84	57	1.4609261751174927
62	91	49	2.0373013019561768
62	95	36	0.31397774815559387
63	26	26	5.5424637794494629
63	36	26	5.4461865425109863
63	93	44	1.595232367515564
64	21	43	3.6082854270935059
64	36	66	4.5970058441162109
64	49	68	1.7449194192886353
64	51	64	1.5167757272720337
64	55	27	1.4134382009506226
64	86	53	2.0673022270202637
65	68	49	6.4323825836181641
65	80	57	1.0829007625579834
66	37	14	2.4153995513916016
66	41	22	5.8799643516540527
66	43	57	7.771878719329834
66	45	70	0.60290360450744629
66	52	47	0.80456709861755371
66	54	25	1.4371603727340698
66	61	21	2.3114867210388184
66	66	37	3.0170977115631104
66	81	27	0.61421388387680054
66	84	39	2.8803942203521729
67	25	31	7.9125661849975586
67	49	27	1.4418741464614868
67	59	33	2.176511287689209
67	61	66	6.7292232513427734
67	67	28	3.0625767707824707
67	74	25	1.5001929998397827
68	29	30	8.846013069152832
68	34	32	8.3228435516357422
68	41	29	4.4395198822021484
68	50	42	1.2309374809265137
68	56	39	0.30333513021469116
69	75	48	5.2144021987915039
69	79	41	5.1333951950073242
70	65	51	9.7095975875854492
71	63	56	7.8286638259887695
71	69	35	4.6770420074462891
72	40	40	1.6013145446777344
72	42	47	0.29792219400405884
72	44	38	2.1521644592285156
72	63	59	8.0052490234375
72	67	43	4.8996491432189941
73	33	29	6.8221406936645508
73	45	24	0.63066887855529785
73	46	54	2.6382591724395752
74	73	43	2.7848947048187256
77	53	49	2.3648357391357422
78	43	46	1.3123754262924194
78	58	46	0.51536315679550171
